timestamp_ms,left_brightness,right_brightness
0,0,0
17,0,0
34,0,0
51,0,0
68,0,0
85,0,0
102,0,0
118,0,0
135,0,0
151,0,0
168,0,0
185,0,0
201,0,0
218,0,0
235,0,0
252,0,0
268,0,0
285,0,0
302,0,0
319,0,0
336,0,0
352,0,0
370,0,0
386,0,0
403,0,0
420,0,0
436,0,0
453,0,0
470,0,0
486,0,0
504,0,0
520,0,0
538,0,0
554,0,0
571,0,0
587,0,0
604,0,0
620,0,0
637,0,0
653,0,0
670,0,0
687,0,0
705,0,0
722,0,0
739,0,0
755,0,0
773,0,0
790,0,0
807,0,0
823,0,0
841,0,0
858,0,0
875,0,0
892,0,0
908,0,0
925,0,0
942,0,0
959,0,0
977,0,0
994,0,0
1011,0,0
1028,0,0
1045,0,0
1062,0,0
1079,0,0
1096,0,0
1114,0,0
1131,0,0
1148,0,0
1165,0,0
1182,0,0
1198,0,0
1214,0,0
1231,0,0
1249,0,0
1265,0,0
1282,0,0
1299,0,0
1316,0,0
1333,0,0
1350,0,0
1367,0,0
1384,0,0
1401,0,0
1418,0,0
1435,0,0
1452,0,0
1469,0,0
1486,0,0
1502,0,0
1520,0,0
1537,0,0
1554,0,0
1570,0,0
1588,0,0
1605,0,0
1621,0,0
1638,0,0
1654,0,0
1671,0,0
1689,0,0
1705,0,0
1721,0,0
1738,0,0
1755,0,0
1772,0,0
1789,0,0
1806,0,0
1823,0,0
1841,0,0
1858,0,0
1875,0,0
1892,0,0
1909,0,0
1925,0,0
1941,0,0
1958,0,0
1974,0,0
1991,0,0
2009,0,0
2026,0,0
2042,0,0
2058,54,51
2075,44,49
2091,49,58
2109,47,53
2125,54,59
2142,50,52
2158,46,54
2174,51,58
2191,44,53
2208,116,124
2225,121,133
2241,123,131
2258,123,132
2276,123,129
2293,121,127
2310,120,127
2327,121,124
2344,119,116
2361,102,114
2378,96,114
2395,100,113
2412,96,108
2428,100,109
2444,97,103
2462,91,101
2479,159,149
2496,144,133
2513,140,142
2529,118,127
2547,92,90
2563,90,95
2580,81,90
2597,90,101
2613,86,95
2629,88,98
2647,105,89
2664,98,83
2682,88,86
2699,118,115
2716,128,142
2732,128,132
2749,146,135
2766,146,117
2783,109,104
2799,122,112
2816,136,158
2832,126,161
2850,131,120
2866,103,115
2883,97,112
2900,101,117
2917,86,113
2933,104,110
2950,87,104
2967,104,107
2984,109,90
3002,100,87
3019,128,91
3036,117,138
3052,134,145
3069,136,125
3085,122,109
3103,130,128
3119,110,100
3136,142,128
3153,155,149
3169,169,129
3187,141,127
3203,154,152
3220,140,155
3237,152,153
3255,146,157
3271,117,118
3288,160,150
3305,143,135
3322,161,160
3339,153,158
3356,170,172
3372,148,156
3390,159,171
3407,171,161
3424,141,133
3440,155,154
3457,168,153
3474,156,146
3490,135,125
3507,154,143
3523,136,144
3540,151,153
3557,162,163
3574,131,128
3590,122,125
3606,126,126
3624,135,131
3641,121,109
3658,130,130
3676,137,149
3692,115,152
3709,129,144
3725,131,135
3743,151,127
3759,119,149
3776,161,149
3792,151,153
3810,155,153
3827,133,124
3843,127,162
3860,121,111
3876,142,152
3892,124,120
3909,116,124
3925,151,147
3943,114,122
3960,162,166
3976,166,127
3992,135,114
4010,129,132
4027,121,116
4044,145,137
4061,134,121
4078,146,130
4095,170,147
4113,127,153
4129,170,150
4146,170,153
4162,143,143
4179,170,143
4195,156,169
4211,130,129
4229,138,138
4245,119,130
4262,170,165
4279,158,160
4296,130,130
4312,121,122
4328,160,160
4345,117,125
4361,134,112
4378,139,133
4395,130,130
4411,155,145
4428,144,120
4445,145,129
4461,120,119
4478,132,135
4494,104,127
4512,123,133
4528,111,112
4546,98,105
4563,105,95
4580,114,111
4597,125,122
4615,96,108
4632,123,126
4649,135,113
4665,126,108
4681,135,123
4698,107,109
4715,126,120
4731,134,126
4748,137,115
4765,119,103
4781,93,99
4798,112,126
4815,118,102
4831,113,103
4848,137,132
4865,133,103
4881,122,107
4898,124,107
4915,128,110
4931,120,113
4948,98,116
4964,136,127
4981,103,121
4998,92,123
5015,97,120
5032,117,118
5049,112,112
5065,115,113
5082,115,113
5098,127,121
5115,118,109
5132,112,102
5148,121,120
5165,113,108
5181,118,104
5198,129,124
5215,126,116
5231,130,113
5248,108,114
5266,132,130
5282,114,99
5299,113,95
5316,98,86
5333,98,86
5350,107,113
5367,92,104
5384,124,120
5401,124,130
5418,121,138
5435,135,119
5451,135,119
5468,128,128
5484,116,118
5501,109,113
5518,135,125
5535,121,123
5552,153,147
5569,151,148
5586,154,147
5602,140,146
5620,155,153
5636,117,127
5652,148,162
5670,99,109
5687,106,121
5704,144,152
5721,131,125
5738,136,145
5755,161,148
5772,123,121
5789,143,124
5805,108,125
5822,108,125
5839,134,115
5856,113,114
5873,139,134
5889,110,111
5907,129,114
5924,119,113
5940,119,113
5957,110,136
5973,98,98
5989,110,98
6006,98,97
6023,120,129
6040,128,138
6057,120,100
6074,123,107
6091,119,109
6108,115,98
6124,115,124
6142,131,120
6159,132,131
6175,151,116
6192,151,116
6209,122,119
6225,119,128
6242,119,115
6260,117,116
6277,112,122
6294,121,107
6311,121,107
6328,126,95
6345,146,133
6361,128,124
6378,142,115
6396,119,121
6413,131,120
6429,129,116
6445,137,121
6462,126,122
6478,120,112
6495,122,122
6511,124,119
6528,104,100
6544,127,121
6561,127,121
6578,130,132
6594,135,128
6611,130,109
6627,120,113
6644,120,113
6661,140,143
6678,117,119
6695,93,113
6711,109,106
6728,109,87
6745,93,99
6761,88,104
6778,141,144
6795,104,161
6811,104,161
6828,137,124
6845,136,148
6861,134,142
6878,153,130
6894,167,172
6911,163,174
6928,173,164
6945,126,103
6961,115,122
6978,122,125
6995,148,151
7011,150,130
7028,103,113
7045,87,99
7061,111,109
7078,116,106
7096,152,144
7112,151,145
7128,154,159
7145,140,128
7161,146,118
7179,128,134
7195,152,142
7212,158,158
7229,152,156
7246,127,144
7263,129,107
7280,125,96
7297,126,124
7314,152,147
7331,152,152
7348,169,156
7365,162,174
7382,161,174
7399,123,139
7416,153,139
7433,151,149
7450,172,147
7466,135,148
7483,139,106
7501,127,124
7518,130,152
7535,149,159
7552,166,151
7569,150,115
7586,118,98
7603,100,122
7620,99,95
7637,156,151
7654,131,146
7671,131,146
7688,115,97
7705,99,99
7722,106,116
7739,159,151
7756,160,166
7773,167,164
7790,167,164
7807,165,165
7823,170,137
7839,174,165
7857,143,131
7873,155,153
7889,109,140
7905,126,136
7923,154,138
7940,162,130
7956,158,153
7973,156,156
7990,155,147
8006,161,133
8023,161,158
8040,172,141
8056,173,155
8072,174,169
8089,161,163
8106,151,120
8123,129,110
8140,136,152
8158,130,124
8175,115,115
8191,129,166
8207,137,128
8224,114,130
8241,143,145
8258,150,135
8275,128,124
8292,130,122
8308,125,136
8325,115,123
8341,139,131
8358,132,125
8375,129,145
8391,160,143
8407,151,172
8424,157,174
8441,134,157
8458,173,157
8475,174,154
8492,159,161
8508,157,173
8525,143,149
8543,150,166
8560,142,152
8576,144,145
8593,127,131
8610,146,113
8627,129,140
8643,141,146
8659,143,158
8676,140,122
8692,151,149
8709,119,116
8726,147,156
8743,133,148
