timestamp_ms,left_brightness,right_brightness
2,0,0
19,0,0
35,0,0
53,0,0
70,0,0
87,0,0
103,0,0
120,0,0
137,0,0
153,0,0
170,0,0
187,0,0
203,0,0
220,0,0
237,0,0
253,0,0
270,0,0
287,0,0
304,0,0
321,0,0
337,0,0
354,0,0
372,0,0
388,0,0
405,0,0
422,0,0
438,0,0
455,0,0
472,0,0
488,0,0
506,0,0
522,0,0
540,0,0
556,0,0
572,0,0
589,0,0
606,0,0
622,0,0
638,0,0
655,0,0
672,0,0
689,0,0
707,0,0
723,0,0
740,0,0
757,0,0
774,0,0
792,0,0
809,0,0
825,0,0
842,0,0
860,0,0
877,0,0
894,0,0
910,0,0
927,0,0
944,0,0
961,0,0
979,0,0
996,0,0
1013,0,0
1030,0,0
1047,0,0
1064,0,0
1081,0,0
1098,0,0
1115,0,0
1133,0,0
1150,0,0
1167,0,0
1184,0,0
1200,0,0
1216,0,0
1233,0,0
1250,0,0
1267,0,0
1284,0,0
1301,0,0
1318,0,0
1335,0,0
1352,0,0
1369,0,0
1386,0,0
1403,0,0
1420,0,0
1437,0,0
1454,0,0
1471,0,0
1488,0,0
1504,0,0
1522,0,0
1539,0,0
1556,0,0
1572,0,0
1590,0,0
1607,0,0
1623,0,0
1640,0,0
1656,0,0
1673,0,0
1690,0,0
1707,0,0
1723,0,0
1740,0,0
1757,0,0
1774,0,0
1791,0,0
1808,0,0
1825,0,0
1843,0,0
1860,0,0
1877,0,0
1894,0,0
1911,0,0
1927,0,0
1943,0,0
1960,0,0
1976,0,0
1993,0,0
2010,0,0
2028,0,0
2044,0,0
2060,54,51
2077,44,49
2093,49,58
2111,47,53
2127,54,59
2144,50,52
2160,46,54
2176,51,58
2193,44,53
2210,116,124
2227,121,133
2243,123,131
2260,123,132
2278,123,129
2295,121,127
2312,120,127
2329,121,124
2346,119,116
2363,102,114
2380,96,114
2397,100,113
2414,96,108
2430,100,109
2446,97,103
2464,91,101
2481,159,149
2498,144,133
2515,140,142
2531,118,127
2549,92,90
2565,90,95
2582,81,90
2599,90,101
2615,86,95
2632,88,98
2649,105,89
2666,98,83
2684,88,86
2701,118,115
2718,128,142
2734,128,132
2751,146,135
2768,146,117
2785,109,104
2802,122,112
2818,136,158
2834,126,161
2852,131,120
2868,103,115
2885,97,112
2902,101,117
2919,86,113
2935,104,110
2952,87,104
2969,104,107
2987,109,90
3004,100,87
3021,128,91
3038,117,138
3054,134,145
3071,136,125
3087,122,109
3104,130,128
3121,110,100
3138,142,128
3155,155,149
3171,169,129
3189,141,127
3205,154,152
3222,140,155
3239,152,153
3257,146,157
3273,117,118
3290,160,150
3307,143,135
3324,161,160
3341,153,158
3358,170,172
3374,148,156
3392,159,171
3409,171,161
3426,141,133
3442,155,154
3459,168,153
3476,156,146
3492,135,125
3509,154,143
3525,136,144
3542,151,153
3559,162,163
3576,131,128
3592,122,125
3609,126,126
3626,135,131
3643,121,109
3660,130,130
3678,137,149
3694,115,152
3711,129,144
3727,131,135
3745,151,127
3761,119,149
3778,161,149
3794,151,153
3812,155,153
3829,133,124
3845,127,162
3862,121,111
3878,142,152
3895,124,120
3911,116,124
3927,151,147
3945,114,122
3962,162,166
3978,166,127
3995,135,114
4012,129,132
4029,121,116
4046,145,137
4063,134,121
4080,146,130
4097,170,147
4115,127,153
4131,170,150
4148,170,153
4165,143,143
4181,170,143
4197,156,169
4213,130,129
4231,138,138
4247,119,130
4264,170,165
4281,158,160
4298,130,130
4314,121,122
4330,160,160
4347,117,125
4363,134,112
4381,139,133
4397,130,130
4414,155,145
4430,144,120
4447,145,129
4463,120,119
4480,132,135
4497,104,127
4514,123,133
4530,111,112
4548,98,105
4565,105,95
4582,114,111
4599,125,122
4617,96,108
4634,123,126
4651,135,113
4667,126,108
4683,135,123
4700,107,109
4717,126,120
4733,134,126
4750,137,115
4767,119,103
4783,93,99
4800,112,126
4817,118,102
4834,113,103
4850,137,132
4867,133,103
4883,122,107
4900,124,107
4917,128,110
4934,120,113
4950,98,116
4966,136,127
4983,103,121
5000,92,123
5017,97,120
5034,117,118
5051,112,112
5067,115,113
5084,115,113
5100,127,121
5117,118,109
5134,112,102
5150,121,120
5167,113,108
5183,118,104
5200,129,124
5217,126,116
5233,130,113
5251,108,114
5268,132,130
5284,114,99
5301,113,95
5318,98,86
5335,98,86
5352,107,113
5370,92,104
5386,124,120
5403,124,130
5420,121,138
5437,135,119
5453,135,119
5470,128,128
5486,116,118
5503,109,113
5520,135,125
5537,121,123
5554,153,147
5571,151,148
5588,154,147
5605,140,146
5622,155,153
5638,117,127
5655,148,162
5672,99,109
5689,106,121
5706,144,152
5723,131,125
5740,136,145
5757,161,148
5774,123,121
5791,143,124
5807,108,125
5824,108,125
5841,134,115
5858,113,114
5875,139,134
5892,110,111
5909,129,114
5926,119,113
5943,119,113
5959,110,136
5975,98,98
5992,110,98
6008,98,97
6025,120,129
6042,128,138
6059,120,100
6076,123,107
6093,119,109
6110,115,98
6126,115,124
6144,131,120
6161,132,131
6177,151,116
6194,151,116
6211,122,119
6227,119,128
6244,119,115
6262,117,116
6280,112,122
6297,121,107
6313,121,107
6331,126,95
6347,146,133
6363,128,124
6381,142,115
6398,119,121
6415,131,120
6431,129,116
6447,137,121
6464,126,122
6481,120,112
6497,122,122
6513,124,119
6530,104,100
6546,127,121
6563,127,121
6580,130,132
6597,135,128
6613,130,109
6630,120,113
6646,120,113
6664,140,143
6680,117,119
6697,93,113
6713,109,106
6730,109,87
6747,93,99
6764,88,104
6780,141,144
6797,104,161
6813,104,161
6830,137,124
6847,136,148
6863,134,142
6880,153,130
6897,167,172
6913,163,174
6930,173,164
6947,126,103
6963,115,122
6981,122,125
6997,148,151
7014,150,130
7030,103,113
7047,87,99
7063,111,109
7081,116,106
7098,152,144
7114,151,145
7130,154,159
7147,140,128
7164,146,118
7181,128,134
7197,152,142
7214,158,158
7231,152,156
7248,127,144
7265,129,107
7282,125,96
7299,126,124
7316,152,147
7333,152,152
7351,169,156
7367,162,174
7384,161,174
7401,123,139
7419,153,139
7436,151,149
7452,172,147
7468,135,148
7486,139,106
7503,127,124
7520,130,152
7537,149,159
7554,166,151
7571,150,115
7588,118,98
7605,100,122
7622,99,95
7639,156,151
7656,131,146
7673,131,146
7690,115,97
7707,99,99
7724,106,116
7741,159,151
7758,160,166
7775,167,164
7792,167,164
7809,165,165
7825,170,137
7842,174,165
7859,143,131
7875,155,153
7891,109,140
7908,126,136
7925,154,138
7942,162,130
7958,158,153
7975,156,156
7992,155,147
8009,161,133
8025,161,158
8042,172,141
8058,173,155
8075,174,169
8091,161,163
8108,151,120
8125,129,110
8143,136,152
8160,130,124
8177,115,115
8193,129,166
8209,137,128
8227,114,130
8244,143,145
8260,150,135
8277,128,124
8294,130,122
8311,125,136
8327,115,123
8343,139,131
8360,132,125
8377,129,145
8393,160,143
8409,151,172
8426,157,174
8443,134,157
8461,173,157
8478,174,154
8494,159,161
8510,157,173
8528,143,149
8545,150,166
8562,142,152
8578,144,145
8596,127,131
8613,146,113
8629,129,140
8645,141,146
8662,143,158
8678,140,122
8694,151,149
8712,119,116
8728,147,156
8745,133,148
8762,146,149
8778,141,121
8795,133,117
8812,131,137
8828,158,161
8845,134,134
8862,116,100
8880,131,112
8896,131,100
8914,122,117
8930,136,146
8947,125,124
8963,150,134
8980,125,124
8997,158,139
9014,97,108
9031,131,131
9047,107,122
9064,149,153
9081,138,108
9097,168,168
9114,127,111
9131,155,147
9148,124,114
9165,151,145
9181,137,117
9198,126,136
9214,123,134
9231,131,156
9248,116,146
9265,132,134
9282,114,113
9299,133,142
9315,170,170
9331,165,165
9348,167,172
9364,155,142
9381,146,136
9398,145,118
9416,136,126
9432,126,115
9449,137,143
9466,82,98
9482,146,146
9498,91,86
9516,168,159
9533,110,125
9550,84,87
9567,107,101
9584,98,99
9600,95,95
9617,82,78
9634,94,93
9651,75,81
9669,127,124
9685,86,109
9701,87,91
9718,94,113
9736,90,91
9752,92,103
9768,134,149
9785,166,171
9802,139,167
9818,125,143
9834,119,158
9852,121,127
9868,109,124
9884,109,124
9902,109,122
9919,90,112
9935,88,121
9952,101,117
9970,94,105
9986,85,106
10002,99,128
10019,108,112
10036,91,110
10053,104,106
10069,91,110
10086,106,96
10102,90,97
10119,99,97
10135,99,97
10152,74,87
10169,83,92
10185,90,93
10202,102,105
10219,117,114
10235,138,145
10252,138,145
10269,94,101
10286,145,143
10303,123,132
10320,111,120
10338,94,107
10355,92,78
10371,92,78
10389,91,75
10405,93,93
10421,76,81
10438,86,82
10456,102,101
10473,99,105
10491,85,80
10507,98,113
10523,100,79
10540,81,74
10558,73,73
10575,72,77
10592,62,68
10609,67,68
10627,79,87
10643,92,89
10660,94,81
10677,100,82
10694,90,69
10711,120,116
10728,102,106
10745,94,107
10761,80,85
10779,90,79
10795,120,112
10812,87,82
10829,86,81
10846,85,79
10863,125,131
10880,106,110
10897,145,137
10913,113,133
10930,127,146
10947,126,145
10963,80,96
10980,79,103
10997,130,131
11014,138,143
11031,135,140
11048,141,138
11064,98,95
11081,151,144
11098,117,112
11116,103,95
11132,82,87
11149,110,94
11166,79,86
11182,72,78
11199,78,74
11216,84,96
11234,150,156
11250,160,153
11267,166,154
11284,158,159
11301,161,158
11318,152,154
11334,151,140
11351,149,133
11367,144,148
11383,141,126
11400,139,127
11417,135,137
11434,145,125
11451,152,126
11468,100,86
11484,100,86
11501,122,99
11518,105,106
11535,91,77
11552,85,86
11568,84,81
11585,71,68
11601,78,59
11618,72,68
11634,82,63
11652,83,66
11669,76,61
11686,78,54
11702,121,129
11719,123,104
11735,116,99
11751,117,108
11768,110,98
11784,122,101
11800,101,97
11817,106,95
11835,106,87
11851,108,88
11868,120,102
11886,85,87
11902,79,81
11919,131,117
11937,97,112
11954,104,105
11970,106,90
11987,100,100
12004,94,80
12021,133,114
12038,102,91
12054,90,90
12071,102,100
12088,161,164
12104,161,164
12122,117,81
12138,111,108
12155,98,95
12172,168,167
12188,94,91
12205,106,95
12222,106,95
12239,106,88
12255,168,167
12273,108,114
12289,91,87
12306,85,76
12326,148,154
12342,148,154
12359,98,91
12376,73,86
12392,81,74
12409,153,146
12427,98,83
12443,86,67
12460,83,83
12477,138,136
12493,158,163
12510,117,108
12527,115,106
12543,136,128
12560,165,156
12576,157,155
12593,157,155
12610,138,132
12627,123,132
12643,146,139
12660,133,113
12677,123,92
12693,127,118
12710,126,115
12726,133,128
12742,149,141
12759,148,151
12776,163,165
12794,173,174
12810,170,162
12827,114,109
12844,114,109
12860,103,93
12877,96,99
12893,141,127
12910,108,102
12927,102,100
12943,86,90
12961,93,91
12978,103,96
12994,93,96
13011,87,97
13028,94,86
13045,83,72
13061,84,78
13078,78,73
13095,86,74
13112,74,84
13129,81,81
13147,88,80
13164,91,91
13181,74,80
13197,117,131
13214,117,131
13231,124,133
13247,82,95
13265,83,78
13282,77,75
13299,81,84
13316,79,86
13332,79,86
13349,72,79
13366,75,81
13382,87,75
13399,80,86
13416,110,109
13432,151,154
13449,119,109
13467,96,101
13484,168,167
13500,96,90
13517,168,167
13534,109,98
13550,168,167
13567,123,124
13585,101,90
13602,167,162
13618,80,98
13634,107,96
13652,108,106
13669,92,88
13688,128,111
13704,128,111
13721,89,98
13737,122,106
13754,105,105
13771,137,139
13789,128,147
13805,101,89
13822,101,89
13839,166,171
13856,129,103
13872,90,92
13889,129,122
13906,89,88
13923,113,79
13940,102,90
13956,88,94
13973,79,76
13990,78,79
14007,83,86
14023,92,83
14040,103,92
14056,88,76
14073,88,76
14090,94,100
14107,78,76
14123,91,79
14140,84,79
14158,93,89
14175,89,86
14193,89,86
14210,88,90
14227,82,92
14244,89,85
14261,80,94
14278,102,108
14294,101,103
14311,100,108
14328,138,139
14345,129,140
14362,110,121
14379,123,115
14396,130,117
14413,120,112
14430,121,130
14448,99,97
14464,98,92
14480,105,99
14497,136,150
14514,130,144
14531,127,133
14547,139,131
14563,139,131
14580,125,136
14597,122,124
14613,119,136
14631,123,132
14647,128,127
14663,117,128
14681,122,126
14698,134,115
14714,119,110
14731,108,110
14748,113,103
14765,106,96
14781,100,99
14798,140,131
14815,130,120
14832,134,141
14848,128,122
14864,127,131
14881,143,131
14898,146,117
14915,143,131
14931,152,136
14947,149,143
14964,128,135
14980,133,120
14997,136,130
15014,136,125
15030,127,126
15047,120,130
15063,123,128
15080,134,128
15096,129,128
15113,127,126
15130,169,154
15147,138,157
15164,134,146
15181,135,142
15197,164,172
15214,144,152
15231,141,140
15247,161,153
15264,173,155
15281,151,148
15298,155,146
15315,134,159
15331,148,146
15348,158,153
15365,158,167
15381,156,165
15399,158,148
15415,145,159
15431,142,144
15448,152,141
15465,147,142
15482,153,144
15499,159,156
15515,147,136
15531,153,148
15548,148,147
15566,158,164
15583,166,150
15600,168,133
15617,169,152
15634,168,152
15650,158,147
15667,146,149
15684,160,153
15701,160,161
15717,154,171
